0,0.484375,0.7985568,0.4875,0.7939048
1,0.609375,0.6708939,0.4875,0.74216855
2,0.5625,0.71130395,0.4875,0.69335616
3,0.625,0.57819754,0.4875,0.6492095
4,0.53125,0.61766917,0.4875,0.6080758
5,0.5,0.6246809,0.4875,0.5698576
6,0.5,0.61022604,0.4875,0.53486127
7,0.6875,0.4358169,0.4875,0.50467676
8,0.609375,0.4298125,0.4875,0.47883138
9,0.6875,0.39869213,0.5125,0.45793134
10,0.59375,0.45318124,0.5125,0.44065633
11,0.578125,0.49296474,0.5375,0.4262436
12,0.59375,0.41976514,0.575,0.41467333
13,0.765625,0.3546749,0.625,0.40600795
14,0.671875,0.3753807,0.625,0.39961904
15,0.59375,0.4213676,0.6625,0.3943688
16,0.625,0.43131185,0.75,0.39022937
17,0.625,0.42431012,0.725,0.38719708
18,0.59375,0.46192545,0.75,0.3845651
19,0.5625,0.445508,0.775,0.3820306
20,0.609375,0.44518232,0.8125,0.3796142
21,0.671875,0.41913146,0.8125,0.37743804
22,0.59375,0.42498523,0.8,0.37514913
23,0.546875,0.43171284,0.8,0.37283137
24,0.71875,0.3930267,0.8,0.37021455
25,0.71875,0.40164852,0.8,0.3676464
26,0.703125,0.40862036,0.8,0.36512393
27,0.75,0.4057722,0.8,0.3623442
28,0.65625,0.3995689,0.8,0.3595977
29,0.65625,0.38596913,0.825,0.35699803
30,0.78125,0.36731243,0.825,0.35432506
31,0.734375,0.37846756,0.825,0.3520473
32,0.703125,0.35081834,0.825,0.3501696
33,0.703125,0.3860172,0.825,0.34853387
34,0.671875,0.42079246,0.825,0.34747982
35,0.828125,0.35365677,0.8,0.346807
36,0.65625,0.3824824,0.825,0.34622604
37,0.78125,0.34981716,0.8125,0.34541506
38,0.6875,0.37191057,0.8,0.34509423
39,0.6875,0.3807636,0.7875,0.3450924
40,0.703125,0.37978137,0.7625,0.34487063
41,0.703125,0.374049,0.7625,0.3448807
42,0.71875,0.35061225,0.7625,0.3446196
43,0.796875,0.3276892,0.7625,0.34452885
44,0.75,0.3806979,0.7625,0.34387845
45,0.734375,0.35478783,0.7625,0.342939
