Otiginal_Train_Acc,Original_Test_Acc,Synthic_Train_Acc,Synthic_Test_Acc
0.859375,0.7375,0.921875,0.875
0.953125,0.7375,0.859375,0.875
0.875,0.7375,0.828125,0.875
0.921875,0.7375,0.84375,0.875
0.90625,0.7375,0.796875,0.875
0.875,0.7375,0.78125,0.875
0.9375,0.7375,0.875,0.875
0.90625,0.7375,0.796875,0.875
0.875,0.7375,0.8125,0.875
0.921875,0.7375,0.828125,0.875
0.953125,0.7375,0.859375,0.875
0.90625,0.725,0.765625,0.875
0.90625,0.725,0.796875,0.875
0.921875,0.725,0.796875,0.875
0.890625,0.725,0.90625,0.875
0.90625,0.725,0.890625,0.875
0.953125,0.7375,0.765625,0.875
0.875,0.7375,0.921875,0.875
0.921875,0.7375,0.78125,0.8875
0.875,0.7375,0.8125,0.8875
0.859375,0.7375,0.84375,0.875
0.984375,0.7375,0.9375,0.875
0.890625,0.7375,0.859375,0.875
0.859375,0.7375,0.859375,0.875
0.921875,0.7375,0.859375,0.875
0.890625,0.7375,0.875,0.875
0.921875,0.7375,0.859375,0.875
0.875,0.7375,0.796875,0.875
0.953125,0.7375,0.90625,0.875
0.96875,0.7375,0.859375,0.875
0.9375,0.75,0.875,0.875
0.890625,0.75,0.78125,0.875
0.9375,0.75,0.71875,0.875
0.921875,0.75,0.859375,0.875
0.9375,0.75,0.921875,0.875
0.9375,0.75,0.78125,0.875
0.921875,0.75,0.859375,0.875
0.96875,0.7375,0.875,0.875
0.9375,0.7375,0.75,0.875
0.9375,0.7375,0.8125,0.875
0.9375,0.7375,0.828125,0.875
0.859375,0.7375,0.765625,0.875
0.9375,0.7375,0.8125,0.875
0.875,0.7375,0.8125,0.875
0.921875,0.7375,0.84375,0.875
0.921875,0.7375,0.890625,0.8875
0.890625,0.7375,0.875,0.8875
0.9375,0.7375,0.8125,0.875
0.921875,0.7375,0.84375,0.875
0.90625,0.7375,0.828125,0.875
0.921875,0.7375,0.84375,0.875
0.953125,0.7375,0.890625,0.875
0.90625,0.7375,0.90625,0.875
0.890625,0.7375,0.890625,0.875
0.921875,0.7375,0.875,0.875
0.90625,0.7375,0.8125,0.875
0.90625,0.7375,0.859375,0.875
0.953125,0.7375,0.875,0.875
0.875,0.7375,0.90625,0.875
0.9375,0.7375,0.8125,0.875
0.90625,0.7375,0.734375,0.8625
0.875,0.7375,0.84375,0.875
0.984375,0.7375,0.828125,0.875
0.90625,0.7375,0.84375,0.875
0.859375,0.75,0.84375,0.875
0.921875,0.75,0.84375,0.875
0.890625,0.75,0.890625,0.875
0.921875,0.75,0.859375,0.875
0.890625,0.7625,0.859375,0.875
0.953125,0.775,0.796875,0.875
0.984375,0.775,0.875,0.875
0.9375,0.775,0.75,0.875
0.921875,0.775,0.828125,0.875
0.9375,0.775,0.90625,0.875
0.921875,0.775,0.859375,0.875
0.9375,0.775,0.765625,0.875
0.953125,0.775,0.84375,0.8875
0.921875,0.775,0.875,0.8875
0.96875,0.7625,0.828125,0.875
0.9375,0.7625,0.9375,0.875
0.9375,0.7625,0.90625,0.875
0.921875,0.75,0.890625,0.875
0.859375,0.75,0.921875,0.875
0.9375,0.75,0.828125,0.875
0.890625,0.75,0.859375,0.875
0.921875,0.75,0.890625,0.875
0.9375,0.75,0.75,0.875
0.90625,0.75,0.890625,0.875
0.9375,0.75,0.90625,0.875
0.921875,0.75,0.8125,0.875
0.90625,0.75,0.921875,0.875
0.90625,0.75,0.875,0.875
0.953125,0.75,0.78125,0.875
0.90625,0.75,0.8125,0.875
0.90625,0.75,0.8125,0.875
0.9375,0.75,0.8125,0.875
0.90625,0.75,0.90625,0.8875
0.921875,0.75,0.9375,0.8875
0.96875,0.75,0.90625,0.8875
0.875,0.75,0.953125,0.875
0.921875,0.75,0.875,0.875
0.921875,0.75,0.90625,0.875
0.875,0.75,0.84375,0.875
0.984375,0.75,0.84375,0.875
0.90625,0.75,0.890625,0.875
0.859375,0.7625,0.828125,0.875
0.953125,0.7625,0.859375,0.875
0.890625,0.7625,0.78125,0.875
0.90625,0.7625,0.8125,0.875
0.90625,0.7875,0.828125,0.875
0.96875,0.7875,0.890625,0.875
0.984375,0.7875,0.8125,0.875
0.9375,0.7875,0.828125,0.875
0.9375,0.7875,0.734375,0.875
0.9375,0.7875,0.890625,0.875
0.921875,0.7875,0.953125,0.875
0.9375,0.7875,0.875,0.875
0.953125,0.7875,0.8125,0.875
0.9375,0.7875,0.78125,0.875
0.96875,0.7875,0.90625,0.875
0.9375,0.7875,0.875,0.875
0.9375,0.775,0.890625,0.875
0.921875,0.775,0.890625,0.875
0.859375,0.7625,0.875,0.875
0.9375,0.7625,0.921875,0.875
0.890625,0.7625,0.859375,0.875
0.921875,0.7625,0.90625,0.875
0.9375,0.7625,0.90625,0.875
0.90625,0.7625,0.828125,0.875
0.9375,0.7625,0.90625,0.875
0.921875,0.7625,0.890625,0.875
0.90625,0.7625,0.859375,0.875
0.921875,0.7625,0.859375,0.875
0.953125,0.7625,0.859375,0.875
0.9375,0.7625,0.890625,0.875
0.90625,0.75,0.859375,0.875
0.9375,0.75,0.875,0.875
0.90625,0.75,0.9375,0.875
0.921875,0.75,0.890625,0.875
0.96875,0.75,0.90625,0.875
0.875,0.7625,0.859375,0.8875
0.921875,0.7625,0.890625,0.8875
0.921875,0.7625,0.890625,0.8875
0.875,0.7625,0.859375,0.875
0.984375,0.7625,0.828125,0.875
0.90625,0.7625,0.828125,0.875
0.859375,0.775,0.953125,0.875
0.953125,0.775,0.8125,0.875
0.890625,0.7875,0.953125,0.875
0.921875,0.8,0.875,0.875
0.90625,0.8,0.859375,0.875
0.96875,0.8125,0.765625,0.8875
0.984375,0.8125,0.90625,0.8875
0.9375,0.8125,0.859375,0.8875
0.953125,0.8125,0.875,0.875
0.953125,0.8125,0.90625,0.875
0.9375,0.8125,0.953125,0.875
0.953125,0.8125,0.859375,0.875
0.953125,0.8125,0.828125,0.875
0.9375,0.8125,0.890625,0.875
0.96875,0.8,0.859375,0.875
0.9375,0.8,0.875,0.875
0.9375,0.8,0.875,0.875
0.921875,0.8,0.875,0.875
0.859375,0.775,0.875,0.875
0.9375,0.775,0.859375,0.875
0.890625,0.775,0.828125,0.875
0.921875,0.775,0.828125,0.875
0.9375,0.775,0.890625,0.875
0.921875,0.775,0.875,0.875
0.9375,0.775,0.828125,0.875
0.921875,0.775,0.828125,0.875
0.90625,0.775,0.921875,0.875
0.921875,0.775,0.890625,0.875
0.953125,0.775,0.921875,0.875
0.9375,0.775,0.90625,0.875
0.921875,0.775,0.875,0.875
0.9375,0.775,0.875,0.875
0.90625,0.775,0.953125,0.875
0.921875,0.775,0.78125,0.875
0.96875,0.775,0.84375,0.875
0.875,0.775,0.875,0.875
0.921875,0.775,0.90625,0.875
0.921875,0.775,0.859375,0.875
0.90625,0.775,0.890625,0.875
0.984375,0.775,0.859375,0.875
0.9375,0.775,0.875,0.875
0.875,0.7875,0.875,0.875
0.953125,0.7875,0.828125,0.875
0.90625,0.8,0.96875,0.875
0.9375,0.8,0.90625,0.875
0.90625,0.8125,0.875,0.8625
0.96875,0.8125,0.921875,0.8625
0.984375,0.8125,0.84375,0.8625
0.953125,0.825,0.859375,0.8625
0.953125,0.825,0.890625,0.8625
0.953125,0.825,0.84375,0.875
0.9375,0.825,0.859375,0.875
0.953125,0.825,0.921875,0.875
0.96875,0.8125,0.96875,0.875
0.9375,0.8125,0.828125,0.875
0.984375,0.8125,0.84375,0.875
0.953125,0.8125,0.828125,0.875
0.953125,0.8,0.953125,0.875
0.921875,0.8,0.953125,0.875
0.875,0.8,0.875,0.875
0.9375,0.7875,0.96875,0.875
0.90625,0.7875,0.90625,0.875
0.9375,0.7875,0.90625,0.875
0.9375,0.7875,0.875,0.875
